variant,token,correct,missing,substituted,total,error_rate
GPT-4o mini Transcribe,stack,57,0,3,60,0.050000000000000044
whisper-large-v3-turbo,figure,114,3,3,120,0.050000000000000044
whisper-small,bp,57,0,3,60,0.050000000000000044
whisper-small,stack,57,0,3,60,0.050000000000000044
whisper-large-v3-turbo,take,247,7,6,260,0.050000000000000044
GPT-4o mini Transcribe,billings,57,0,3,60,0.050000000000000044
GPT-4o mini Transcribe,advances,57,0,3,60,0.050000000000000044
GPT-4o mini Transcribe,generating,76,0,4,80,0.050000000000000044
GPT-4o mini Transcribe,savings,76,0,4,80,0.050000000000000044
GPT-4o mini Transcribe,900,76,3,1,80,0.050000000000000044
GPT-4o mini Transcribe,digital,228,0,12,240,0.050000000000000044
GPT-4o mini Transcribe,material,57,0,3,60,0.050000000000000044
GPT-4o mini Transcribe,midpoint,57,0,3,60,0.050000000000000044
whisper-large-v3-turbo,full,684,27,9,720,0.050000000000000044
whisper-large-v3-turbo,components,57,0,3,60,0.050000000000000044
whisper-small,billings,57,0,3,60,0.050000000000000044
whisper-large-v3-turbo,great,95,3,2,100,0.050000000000000044
whisper-large-v3-turbo,slide,951,37,13,1001,0.049950049950049924
whisper-small,covid,381,13,7,401,0.04987531172069826
whisper-large-v3-turbo,demand,172,3,6,181,0.04972375690607733
whisper-large-v3-turbo,2019,1172,37,24,1233,0.04947283049472828
whisper-small,europe,154,6,2,162,0.04938271604938271
whisper-small,opportunities,77,3,1,81,0.04938271604938271
GPT-4o mini Transcribe,america,154,3,5,162,0.04938271604938271
whisper-small,versus,945,45,4,994,0.04929577464788737
GPT-4o mini Transcribe,2025,135,0,7,142,0.04929577464788737
whisper-large-v3-turbo,over,2084,76,32,2192,0.0492700729927007
whisper-small,largely,58,3,0,61,0.049180327868852514
GPT-4o mini Transcribe,end,870,8,37,915,0.049180327868852514
GPT-4o mini Transcribe,beyond,116,3,3,122,0.049180327868852514
GPT-4o mini Transcribe,efficiency,58,0,3,61,0.049180327868852514
GPT-4o mini Transcribe,slight,58,3,0,61,0.049180327868852514
whisper-large-v3-turbo,efficiency,58,0,3,61,0.049180327868852514
whisper-large-v3-turbo,gas,155,8,0,163,0.049079754601227044
whisper-large-v3-turbo,revenue,3101,96,64,3261,0.049064704078503496
whisper-small,during,835,12,31,878,0.048974943052391806
whisper-large-v3-turbo,shows,136,3,4,143,0.04895104895104896
GPT-4o mini Transcribe,dont,117,6,0,123,0.04878048780487809
whisper-small,investments,195,3,7,205,0.04878048780487809
whisper-large-v3-turbo,gmv,117,6,0,123,0.04878048780487809
whisper-large-v3-turbo,time,468,13,11,492,0.04878048780487809
whisper-large-v3-turbo,estimated,78,0,4,82,0.04878048780487809
GPT-4o mini Transcribe,since,254,9,4,267,0.048689138576779034
whisper-small,already,254,10,3,267,0.048689138576779034
GPT-4o mini Transcribe,look,391,4,16,411,0.048661800486618056
GPT-4o mini Transcribe,earlier,196,6,4,206,0.04854368932038833
whisper-large-v3-turbo,really,255,8,5,268,0.04850746268656714
GPT-4o mini Transcribe,planning,59,0,3,62,0.048387096774193505
GPT-4o mini Transcribe,0.7,59,0,3,62,0.048387096774193505
GPT-4o mini Transcribe,opportunity,59,3,0,62,0.048387096774193505
whisper-large-v3-turbo,0.7,59,3,0,62,0.048387096774193505
whisper-small,0.9,59,0,3,62,0.048387096774193505
whisper-large-v3-turbo,break,59,0,3,62,0.048387096774193505
whisper-small,once,59,0,3,62,0.048387096774193505
GPT-4o mini Transcribe,free,630,13,19,662,0.048338368580060465
whisper-large-v3-turbo,believe,138,3,4,145,0.0482758620689655
GPT-4o mini Transcribe,its,1243,21,42,1306,0.0482388973966309
whisper-large-v3-turbo,71,79,3,1,83,0.048192771084337394
GPT-4o mini Transcribe,31,158,0,8,166,0.048192771084337394
whisper-large-v3-turbo,final,79,1,3,83,0.048192771084337394
GPT-4o mini Transcribe,final,79,0,4,83,0.048192771084337394
whisper-small,including,415,10,11,436,0.04816513761467889
whisper-small,plan,178,3,6,187,0.048128342245989275
whisper-small,full,694,22,13,729,0.0480109739368999
GPT-4o mini Transcribe,marketing,119,6,0,125,0.04800000000000004
whisper-small,similar,119,3,3,125,0.04800000000000004
whisper-large-v3-turbo,q2,319,13,3,335,0.047761194029850795
whisper-large-v3-turbo,again,359,6,12,377,0.04774535809018565
whisper-large-v3-turbo,organic,738,28,9,775,0.047741935483870956
whisper-large-v3-turbo,loans,140,6,1,147,0.04761904761904767
whisper-large-v3-turbo,ev,60,3,0,63,0.04761904761904767
whisper-large-v3-turbo,material,60,0,3,63,0.04761904761904767
whisper-large-v3-turbo,ghana,60,3,0,63,0.04761904761904767
GPT-4o mini Transcribe,talked,60,0,3,63,0.04761904761904767
GPT-4o mini Transcribe,ago,280,10,4,294,0.04761904761904767
whisper-large-v3-turbo,done,60,3,0,63,0.04761904761904767
whisper-small,material,60,0,3,63,0.04761904761904767
whisper-large-v3-turbo,adjustment,60,0,3,63,0.04761904761904767
GPT-4o mini Transcribe,ghana,60,0,3,63,0.04761904761904767
GPT-4o mini Transcribe,gigawatts,60,0,3,63,0.04761904761904767
GPT-4o mini Transcribe,questions,200,3,7,210,0.04761904761904767
GPT-4o mini Transcribe,win,120,0,6,126,0.04761904761904767
GPT-4o mini Transcribe,years,882,25,19,926,0.04751619870410362
whisper-large-v3-turbo,contribution,301,12,3,316,0.04746835443037978
whisper-large-v3-turbo,1.5,181,3,6,190,0.047368421052631615
whisper-small,shares,383,12,7,402,0.04726368159203975
GPT-4o mini Transcribe,date,202,3,7,212,0.047169811320754707
whisper-small,since,263,9,4,276,0.047101449275362306
GPT-4o mini Transcribe,quarters,263,4,9,276,0.047101449275362306
whisper-large-v3-turbo,closed,81,3,1,85,0.04705882352941182
GPT-4o mini Transcribe,those,284,0,14,298,0.046979865771812124
whisper-large-v3-turbo,ratio,731,27,9,767,0.046936114732724854
whisper-large-v3-turbo,used,61,3,0,64,0.046875
whisper-small,used,61,3,0,64,0.046875
whisper-large-v3-turbo,anticipated,61,3,0,64,0.046875
whisper-large-v3-turbo,slight,61,3,0,64,0.046875
whisper-small,middle,61,3,0,64,0.046875
GPT-4o mini Transcribe,basis,1159,24,33,1216,0.046875
whisper-large-v3-turbo,profits,61,3,0,64,0.046875
whisper-small,slight,61,3,0,64,0.046875
GPT-4o mini Transcribe,example,61,0,3,64,0.046875
GPT-4o mini Transcribe,consider,61,0,3,64,0.046875
GPT-4o mini Transcribe,2.1,122,6,0,128,0.046875
GPT-4o mini Transcribe,r,61,3,0,64,0.046875
whisper-small,marketing,122,6,0,128,0.046875
GPT-4o mini Transcribe,number,489,6,18,513,0.04678362573099415
GPT-4o mini Transcribe,loans,143,3,4,150,0.046666666666666634
whisper-small,welcome,143,3,4,150,0.046666666666666634
GPT-4o mini Transcribe,decrease,327,16,0,343,0.04664723032069973
GPT-4o mini Transcribe,1.5,184,6,3,193,0.04663212435233166
GPT-4o mini Transcribe,well,777,19,19,815,0.0466257668711656
whisper-large-v3-turbo,mainly,450,9,13,472,0.04661016949152541
GPT-4o mini Transcribe,targets,82,0,4,86,0.046511627906976716
whisper-large-v3-turbo,win,123,0,6,129,0.046511627906976716
whisper-large-v3-turbo,31,164,1,7,172,0.046511627906976716
whisper-large-v3-turbo,most,123,0,6,129,0.046511627906976716
whisper-large-v3-turbo,26,226,6,5,237,0.04641350210970463
whisper-large-v3-turbo,amounted,185,6,3,194,0.046391752577319534
whisper-large-v3-turbo,provided,103,5,0,108,0.04629629629629628
GPT-4o mini Transcribe,provided,103,5,0,108,0.04629629629629628
GPT-4o mini Transcribe,another,206,7,3,216,0.04629629629629628
GPT-4o mini Transcribe,rest,62,3,0,65,0.0461538461538461
whisper-large-v3-turbo,minus,186,6,3,195,0.0461538461538461
GPT-4o mini Transcribe,growing,248,6,6,260,0.0461538461538461
whisper-small,world,62,3,0,65,0.0461538461538461
whisper-small,several,62,3,0,65,0.0461538461538461
GPT-4o mini Transcribe,your,643,15,16,674,0.04599406528189909
GPT-4o mini Transcribe,maybe,166,6,2,174,0.04597701149425293
GPT-4o mini Transcribe,pay,83,3,1,87,0.04597701149425293
whisper-large-v3-turbo,return,498,15,9,522,0.04597701149425293
GPT-4o mini Transcribe,increasing,249,6,6,261,0.04597701149425293
GPT-4o mini Transcribe,growth,5217,132,119,5468,0.04590343818580833
GPT-4o mini Transcribe,q2,291,4,10,305,0.04590163934426228
GPT-4o mini Transcribe,exchange,250,3,9,262,0.04580152671755722
GPT-4o mini Transcribe,give,188,6,3,197,0.045685279187817285
GPT-4o mini Transcribe,no,209,7,3,219,0.045662100456621
whisper-small,continued,314,12,3,329,0.045592705167173286
GPT-4o mini Transcribe,greater,63,0,3,66,0.045454545454545414
whisper-small,ev,63,3,0,66,0.045454545454545414
GPT-4o mini Transcribe,projects,105,4,1,110,0.045454545454545414
whisper-large-v3-turbo,groups,63,3,0,66,0.045454545454545414
whisper-large-v3-turbo,gigawatts,63,0,3,66,0.045454545454545414
GPT-4o mini Transcribe,expense,189,4,5,198,0.045454545454545414
whisper-large-v3-turbo,greater,63,0,3,66,0.045454545454545414
whisper-small,support,84,4,0,88,0.045454545454545414
GPT-4o mini Transcribe,2019,1160,27,28,1215,0.04526748971193417
whisper-large-v3-turbo,before,528,6,19,553,0.0452079566003617
GPT-4o mini Transcribe,ratio,719,25,9,753,0.04515272244355906
whisper-large-v3-turbo,1.2,127,5,1,133,0.045112781954887216
GPT-4o mini Transcribe,recovery,127,6,0,133,0.045112781954887216
GPT-4o mini Transcribe,1.2,127,4,2,133,0.045112781954887216
whisper-large-v3-turbo,should,360,7,10,377,0.04509283819628651
GPT-4o mini Transcribe,need,85,3,1,89,0.0449438202247191
GPT-4o mini Transcribe,april,85,3,1,89,0.0449438202247191
whisper-large-v3-turbo,15,723,22,12,757,0.044914134742404244
GPT-4o mini Transcribe,are,1957,37,55,2049,0.04489995119570522
whisper-small,consider,64,0,3,67,0.04477611940298509
GPT-4o mini Transcribe,bps,64,0,3,67,0.04477611940298509
GPT-4o mini Transcribe,consistent,64,3,0,67,0.04477611940298509
GPT-4o mini Transcribe,sector,64,3,0,67,0.04477611940298509
GPT-4o mini Transcribe,today,235,0,11,246,0.04471544715447151
whisper-large-v3-turbo,december,321,12,3,336,0.044642857142857095
whisper-large-v3-turbo,profitability,193,9,0,202,0.044554455445544594
GPT-4o mini Transcribe,month,236,7,4,247,0.04453441295546556
GPT-4o mini Transcribe,know,1053,27,22,1102,0.04446460980036293
whisper-large-v3-turbo,delivered,215,9,1,225,0.0444444444444444
GPT-4o mini Transcribe,offset,129,6,0,135,0.0444444444444444
GPT-4o mini Transcribe,yeah,259,6,6,271,0.044280442804428
whisper-large-v3-turbo,purchase,108,2,3,113,0.04424778761061943
whisper-large-v3-turbo,ago,281,11,2,294,0.04421768707482998
GPT-4o mini Transcribe,plus,541,14,11,566,0.044169611307420475
GPT-4o mini Transcribe,partially,65,3,0,68,0.044117647058823484
whisper-large-v3-turbo,provision,65,0,3,68,0.044117647058823484
GPT-4o mini Transcribe,comes,130,6,0,136,0.044117647058823484
whisper-large-v3-turbo,guiding,65,0,3,68,0.044117647058823484
GPT-4o mini Transcribe,contract,65,0,3,68,0.044117647058823484
whisper-large-v3-turbo,perspective,65,0,3,68,0.044117647058823484
whisper-small,local,65,3,0,68,0.044117647058823484
whisper-large-v3-turbo,contract,65,0,3,68,0.044117647058823484
whisper-large-v3-turbo,special,87,0,4,91,0.04395604395604391
whisper-small,taking,109,2,3,114,0.04385964912280704
whisper-large-v3-turbo,here,327,9,6,342,0.04385964912280704
GPT-4o mini Transcribe,i,2313,44,62,2419,0.04381976023150058
GPT-4o mini Transcribe,sequential,131,0,6,137,0.04379562043795615
whisper-large-v3-turbo,sequential,131,0,6,137,0.04379562043795615
GPT-4o mini Transcribe,ex,66,0,3,69,0.04347826086956519
GPT-4o mini Transcribe,enterprise,66,0,3,69,0.04347826086956519
GPT-4o mini Transcribe,impacted,132,6,0,138,0.04347826086956519
whisper-small,decreasing,66,0,3,69,0.04347826086956519
whisper-small,93,66,3,0,69,0.04347826086956519
whisper-small,luminex,66,3,0,69,0.04347826086956519
whisper-small,fully,132,6,0,138,0.04347826086956519
whisper-large-v3-turbo,remarkable,66,3,0,69,0.04347826086956519
whisper-small,5.7,66,3,0,69,0.04347826086956519
whisper-large-v3-turbo,fully,132,6,0,138,0.04347826086956519
GPT-4o mini Transcribe,accounting,66,3,0,69,0.04347826086956519
whisper-small,accounting,66,3,0,69,0.04347826086956519
whisper-large-v3-turbo,93,66,3,0,69,0.04347826086956519
whisper-large-v3-turbo,april,88,4,0,92,0.04347826086956519
GPT-4o mini Transcribe,2020,2422,59,51,2532,0.04344391785150081
whisper-large-v3-turbo,segment,419,10,9,438,0.04337899543378998
GPT-4o mini Transcribe,some,442,13,7,462,0.04329004329004327
whisper-large-v3-turbo,reported,332,8,7,347,0.043227665706051854
whisper-small,america,155,1,6,162,0.043209876543209846
whisper-small,current,288,0,13,301,0.04318936877076407
GPT-4o mini Transcribe,non,399,8,10,417,0.043165467625899234
GPT-4o mini Transcribe,15,710,15,17,742,0.04312668463611857
GPT-4o mini Transcribe,within,178,7,1,186,0.043010752688172005
GPT-4o mini Transcribe,step,89,3,1,93,0.043010752688172005
GPT-4o mini Transcribe,equipment,67,0,3,70,0.042857142857142816
GPT-4o mini Transcribe,profits,67,0,3,70,0.042857142857142816
GPT-4o mini Transcribe,stands,67,0,3,70,0.042857142857142816
whisper-small,stands,67,0,3,70,0.042857142857142816
whisper-small,changes,67,3,0,70,0.042857142857142816
whisper-large-v3-turbo,therefore,134,3,3,140,0.042857142857142816
GPT-4o mini Transcribe,63,67,0,3,70,0.042857142857142816
GPT-4o mini Transcribe,february,67,0,3,70,0.042857142857142816
whisper-large-v3-turbo,opex,67,0,3,70,0.042857142857142816
GPT-4o mini Transcribe,talking,67,3,0,70,0.042857142857142816
whisper-large-v3-turbo,consistent,67,3,0,70,0.042857142857142816
whisper-small,opex,67,0,3,70,0.042857142857142816
GPT-4o mini Transcribe,financing,67,0,3,70,0.042857142857142816
whisper-large-v3-turbo,seeing,67,0,3,70,0.042857142857142816
whisper-large-v3-turbo,do,291,10,3,304,0.042763157894736836
whisper-large-v3-turbo,program,180,7,1,188,0.04255319148936165
GPT-4o mini Transcribe,2.3,135,3,3,141,0.04255319148936165
whisper-small,2.3,135,0,6,141,0.04255319148936165
GPT-4o mini Transcribe,means,135,0,6,141,0.04255319148936165
whisper-large-v3-turbo,2.3,135,0,6,141,0.04255319148936165
whisper-small,credit,181,8,0,189,0.042328042328042326
GPT-4o mini Transcribe,consumer,68,3,0,71,0.04225352112676062
whisper-large-v3-turbo,partially,68,3,0,71,0.04225352112676062
GPT-4o mini Transcribe,every,68,0,3,71,0.04225352112676062
whisper-small,consumer,68,0,3,71,0.04225352112676062
whisper-large-v3-turbo,equipment,68,0,3,71,0.04225352112676062
GPT-4o mini Transcribe,expectation,68,0,3,71,0.04225352112676062
whisper-large-v3-turbo,every,68,0,3,71,0.04225352112676062
whisper-small,need,91,0,4,95,0.04210526315789476
whisper-large-v3-turbo,fact,91,4,0,95,0.04210526315789476
GPT-4o mini Transcribe,see,866,15,23,904,0.042035398230088505
GPT-4o mini Transcribe,really,251,4,7,262,0.041984732824427495
GPT-4o mini Transcribe,would,731,16,16,763,0.04193971166448229
whisper-large-v3-turbo,ebit,298,6,7,311,0.04180064308681675
whisper-large-v3-turbo,just,942,22,19,983,0.04170905391658186
GPT-4o mini Transcribe,sga,69,0,3,72,0.04166666666666663
whisper-large-v3-turbo,sga,69,0,3,72,0.04166666666666663
GPT-4o mini Transcribe,solid,207,0,9,216,0.04166666666666663
GPT-4o mini Transcribe,make,92,0,4,96,0.04166666666666663
whisper-small,0.2,69,3,0,72,0.04166666666666663
whisper-large-v3-turbo,0.2,69,3,0,72,0.04166666666666663
GPT-4o mini Transcribe,reasons,69,0,3,72,0.04166666666666663
GPT-4o mini Transcribe,includes,138,0,6,144,0.04166666666666663
whisper-small,trend,92,3,1,96,0.04166666666666663
GPT-4o mini Transcribe,between,553,7,17,577,0.04159445407279028
whisper-small,reduction,231,5,5,241,0.04149377593360992
GPT-4o mini Transcribe,reduction,231,5,5,241,0.04149377593360992
whisper-large-v3-turbo,items,139,0,6,145,0.04137931034482756
whisper-small,items,139,3,3,145,0.04137931034482756
GPT-4o mini Transcribe,items,139,0,6,145,0.04137931034482756
GPT-4o mini Transcribe,10,1229,27,26,1282,0.041341653666146616
GPT-4o mini Transcribe,main,232,0,10,242,0.04132231404958675
whisper-small,4.3,93,3,1,97,0.04123711340206182
GPT-4o mini Transcribe,rate,977,33,9,1019,0.04121687929342488
GPT-4o mini Transcribe,if,863,9,28,900,0.0411111111111111
whisper-small,highlights,70,3,0,73,0.04109589041095896
whisper-small,division,70,0,3,73,0.04109589041095896
whisper-small,37,70,3,0,73,0.04109589041095896
whisper-small,financing,70,0,3,73,0.04109589041095896
whisper-large-v3-turbo,highlights,70,0,3,73,0.04109589041095896
whisper-large-v3-turbo,talking,70,3,0,73,0.04109589041095896
GPT-4o mini Transcribe,highlights,70,0,3,73,0.04109589041095896
whisper-large-v3-turbo,financing,70,0,3,73,0.04109589041095896
GPT-4o mini Transcribe,restructuring,70,0,3,73,0.04109589041095896
whisper-large-v3-turbo,no,211,6,3,220,0.040909090909090895
whisper-large-v3-turbo,solutions,94,3,1,98,0.04081632653061229
GPT-4o mini Transcribe,compare,71,3,0,74,0.04054054054054057
whisper-small,expenditures,71,3,0,74,0.04054054054054057
GPT-4o mini Transcribe,600,71,0,3,74,0.04054054054054057
whisper-large-v3-turbo,expenditures,71,3,0,74,0.04054054054054057
GPT-4o mini Transcribe,before,522,3,19,544,0.0404411764705882
whisper-large-v3-turbo,make,95,0,4,99,0.04040404040404044
whisper-large-v3-turbo,transactions,95,3,1,99,0.04040404040404044
GPT-4o mini Transcribe,generate,95,3,1,99,0.04040404040404044
GPT-4o mini Transcribe,just,928,14,25,967,0.04033092037228547
GPT-4o mini Transcribe,business,932,22,17,971,0.040164778578784754
whisper-large-v3-turbo,welcome,144,3,3,150,0.040000000000000036
whisper-small,initiatives,72,0,3,75,0.040000000000000036
GPT-4o mini Transcribe,great,96,4,0,100,0.040000000000000036
GPT-4o mini Transcribe,showing,72,0,3,75,0.040000000000000036
whisper-small,restructuring,72,0,3,75,0.040000000000000036
whisper-large-v3-turbo,2.2,96,0,4,100,0.040000000000000036
whisper-small,care,72,3,0,75,0.040000000000000036
whisper-large-v3-turbo,restructuring,72,0,3,75,0.040000000000000036
GPT-4o mini Transcribe,return,504,16,5,525,0.040000000000000036
whisper-small,remaining,72,3,0,75,0.040000000000000036
whisper-large-v3-turbo,includes,144,6,0,150,0.040000000000000036
GPT-4o mini Transcribe,balance,313,10,3,326,0.039877300613496924
whisper-large-v3-turbo,12,871,22,14,907,0.03969128996692395
whisper-small,large,97,3,1,101,0.03960396039603964
GPT-4o mini Transcribe,line,558,13,10,581,0.03958691910499135
GPT-4o mini Transcribe,participants,73,0,3,76,0.03947368421052633
whisper-small,particularly,73,3,0,76,0.03947368421052633
whisper-large-v3-turbo,participants,73,0,3,76,0.03947368421052633
whisper-small,them,73,3,0,76,0.03947368421052633
whisper-large-v3-turbo,4.7,73,0,3,76,0.03947368421052633
whisper-large-v3-turbo,turning,171,0,7,178,0.0393258426966292
whisper-large-v3-turbo,something,147,0,6,153,0.039215686274509776
GPT-4o mini Transcribe,recent,49,0,2,51,0.039215686274509776
GPT-4o mini Transcribe,figures,147,6,0,153,0.039215686274509776
GPT-4o mini Transcribe,3.2,98,0,4,102,0.039215686274509776
GPT-4o mini Transcribe,being,221,9,0,230,0.03913043478260869
GPT-4o mini Transcribe,said,295,6,6,307,0.039087947882736174
whisper-large-v3-turbo,lets,320,4,9,333,0.03903903903903905
whisper-small,order,148,6,0,154,0.038961038961038974
GPT-4o mini Transcribe,planned,74,0,3,77,0.038961038961038974
whisper-small,youve,74,0,3,77,0.038961038961038974
whisper-large-v3-turbo,go,222,6,3,231,0.038961038961038974
GPT-4o mini Transcribe,gave,74,0,3,77,0.038961038961038974
GPT-4o mini Transcribe,organic,741,15,15,771,0.03891050583657585
whisper-small,focus,99,3,1,103,0.03883495145631066
whisper-large-v3-turbo,planned,75,0,3,78,0.038461538461538436
whisper-large-v3-turbo,17.5,100,1,3,104,0.038461538461538436
whisper-large-v3-turbo,difference,50,2,0,52,0.038461538461538436
whisper-small,difference,50,2,0,52,0.038461538461538436
GPT-4o mini Transcribe,difference,50,2,0,52,0.038461538461538436
whisper-large-v3-turbo,delivery,75,3,0,78,0.038461538461538436
whisper-small,affected,75,0,3,78,0.038461538461538436
whisper-large-v3-turbo,years,878,21,14,913,0.03833515881708649
whisper-large-v3-turbo,while,502,7,13,522,0.03831417624521072
GPT-4o mini Transcribe,barrel,226,6,3,235,0.03829787234042559
GPT-4o mini Transcribe,orders,126,4,1,131,0.03816793893129766
GPT-4o mini Transcribe,customers,101,1,3,105,0.03809523809523807
whisper-large-v3-turbo,too,76,3,0,79,0.03797468354430378
whisper-large-v3-turbo,especially,76,0,3,79,0.03797468354430378
whisper-large-v3-turbo,affected,76,0,3,79,0.03797468354430378
GPT-4o mini Transcribe,say,304,6,6,316,0.03797468354430378
GPT-4o mini Transcribe,affected,76,0,3,79,0.03797468354430378
GPT-4o mini Transcribe,conversion,76,3,0,79,0.03797468354430378
GPT-4o mini Transcribe,times,406,9,7,422,0.03791469194312791
whisper-large-v3-turbo,64,127,4,1,132,0.037878787878787845
GPT-4o mini Transcribe,amount,178,6,1,185,0.037837837837837784
GPT-4o mini Transcribe,actions,51,0,2,53,0.037735849056603765
whisper-large-v3-turbo,contracts,51,0,2,53,0.037735849056603765
GPT-4o mini Transcribe,contracts,51,1,1,53,0.037735849056603765
GPT-4o mini Transcribe,effect,153,0,6,159,0.037735849056603765
GPT-4o mini Transcribe,84,77,3,0,80,0.03749999999999998
whisper-large-v3-turbo,bringing,77,3,0,80,0.03749999999999998
whisper-large-v3-turbo,conversion,77,3,0,80,0.03749999999999998
whisper-large-v3-turbo,youve,77,3,0,80,0.03749999999999998
GPT-4o mini Transcribe,fiscal,1104,25,18,1147,0.037489102005231034
GPT-4o mini Transcribe,2022,1728,42,25,1795,0.037325905292479145
whisper-large-v3-turbo,allocation,129,3,2,134,0.03731343283582089
whisper-small,other,595,9,14,618,0.03721682847896435
whisper-large-v3-turbo,solid,208,3,5,216,0.03703703703703709
whisper-large-v3-turbo,declined,234,6,3,243,0.03703703703703709
GPT-4o mini Transcribe,mobile,156,6,0,162,0.03703703703703709
GPT-4o mini Transcribe,3.5,104,3,1,108,0.03703703703703709
GPT-4o mini Transcribe,51,157,3,3,163,0.036809815950920255
GPT-4o mini Transcribe,80,184,3,4,191,0.03664921465968585
whisper-large-v3-turbo,effects,79,3,0,82,0.03658536585365857
GPT-4o mini Transcribe,rotation,79,0,3,82,0.03658536585365857
GPT-4o mini Transcribe,november,79,0,3,82,0.03658536585365857
whisper-small,130,79,3,0,82,0.03658536585365857
whisper-large-v3-turbo,130,79,3,0,82,0.03658536585365857
whisper-small,spend,79,3,0,82,0.03658536585365857
GPT-4o mini Transcribe,continued,317,12,0,329,0.03647416413373861
GPT-4o mini Transcribe,activities,185,4,3,192,0.03645833333333337
whisper-small,quarterly,291,4,7,302,0.03642384105960261
whisper-large-v3-turbo,actions,53,0,2,55,0.036363636363636376
whisper-large-v3-turbo,viously,186,6,1,193,0.03626943005181349
GPT-4o mini Transcribe,mainly,426,6,10,442,0.03619909502262442
whisper-small,november,80,3,0,83,0.03614457831325302
whisper-large-v3-turbo,november,80,0,3,83,0.03614457831325302
GPT-4o mini Transcribe,going,480,13,5,498,0.03614457831325302
GPT-4o mini Transcribe,basic,80,3,0,83,0.03614457831325302
whisper-large-v3-turbo,activity,107,4,0,111,0.036036036036036
whisper-large-v3-turbo,comparable,107,0,4,111,0.036036036036036
GPT-4o mini Transcribe,comparable,107,0,4,111,0.036036036036036
whisper-small,comparable,107,0,4,111,0.036036036036036
GPT-4o mini Transcribe,can,644,0,24,668,0.0359281437125748
whisper-large-v3-turbo,activities,188,4,3,195,0.03589743589743588
GPT-4o mini Transcribe,percentage,567,9,12,588,0.0357142857142857
GPT-4o mini Transcribe,maintenance,81,3,0,84,0.0357142857142857
GPT-4o mini Transcribe,moving,324,7,5,336,0.0357142857142857
whisper-large-v3-turbo,user,81,0,3,84,0.0357142857142857
GPT-4o mini Transcribe,sort,135,3,2,140,0.0357142857142857
whisper-small,contracts,54,1,1,56,0.0357142857142857
GPT-4o mini Transcribe,there,542,9,11,562,0.03558718861209964
GPT-4o mini Transcribe,2023,271,6,4,281,0.03558718861209964
GPT-4o mini Transcribe,start,190,4,3,197,0.035532994923857864
whisper-large-v3-turbo,underlying,272,0,10,282,0.03546099290780147
whisper-small,areas,109,3,1,113,0.03539823008849563
GPT-4o mini Transcribe,areas,109,0,4,113,0.03539823008849563
GPT-4o mini Transcribe,worth,82,0,3,85,0.03529411764705881
whisper-small,whole,82,3,0,85,0.03529411764705881
GPT-4o mini Transcribe,investments,192,6,1,199,0.035175879396984966
whisper-large-v3-turbo,kind,110,1,3,114,0.03508771929824561
GPT-4o mini Transcribe,organically,165,6,0,171,0.03508771929824561
whisper-large-v3-turbo,services,248,6,3,257,0.035019455252918275
whisper-large-v3-turbo,growing,248,9,0,257,0.035019455252918275
whisper-small,industry,83,3,0,86,0.03488372093023251
whisper-large-v3-turbo,basic,83,3,0,86,0.03488372093023251
GPT-4o mini Transcribe,industry,83,3,0,86,0.03488372093023251
whisper-large-v3-turbo,120,111,0,4,115,0.034782608695652195
GPT-4o mini Transcribe,services,250,6,3,259,0.03474903474903479
whisper-small,constant,167,6,0,173,0.034682080924855474
GPT-4o mini Transcribe,but,1142,22,19,1183,0.0346576500422654
whisper-small,reported,335,7,5,347,0.03458213256484155
whisper-small,outstanding,56,1,1,58,0.03448275862068961
GPT-4o mini Transcribe,case,112,0,4,116,0.03448275862068961
GPT-4o mini Transcribe,yoy,84,3,0,87,0.03448275862068961
whisper-small,expanded,84,3,0,87,0.03448275862068961
GPT-4o mini Transcribe,outstanding,56,1,1,58,0.03448275862068961
GPT-4o mini Transcribe,already,252,9,0,261,0.03448275862068961
GPT-4o mini Transcribe,transaction,112,3,1,116,0.03448275862068961
whisper-large-v3-turbo,outstanding,56,1,1,58,0.03448275862068961
whisper-small,top,252,6,3,261,0.03448275862068961
GPT-4o mini Transcribe,investment,226,4,4,234,0.03418803418803418
GPT-4o mini Transcribe,volumes,170,2,4,176,0.03409090909090906
GPT-4o mini Transcribe,support,85,3,0,88,0.03409090909090906
whisper-small,8.7,57,1,1,59,0.03389830508474578
whisper-large-v3-turbo,61,57,0,2,59,0.03389830508474578
GPT-4o mini Transcribe,stood,172,3,3,178,0.0337078651685393
whisper-small,add,86,3,0,89,0.0337078651685393
whisper-small,case,115,0,4,119,0.03361344537815125
whisper-large-v3-turbo,case,115,0,4,119,0.03361344537815125
whisper-large-v3-turbo,grow,260,6,3,269,0.03345724907063197
GPT-4o mini Transcribe,45,260,9,0,269,0.03345724907063197
GPT-4o mini Transcribe,giving,87,3,0,90,0.033333333333333326
GPT-4o mini Transcribe,construction,87,0,3,90,0.033333333333333326
GPT-4o mini Transcribe,rupees,87,0,3,90,0.033333333333333326
GPT-4o mini Transcribe,backlog,87,3,0,90,0.033333333333333326
GPT-4o mini Transcribe,demand,175,3,3,181,0.03314917127071826
GPT-4o mini Transcribe,question,381,7,6,394,0.032994923857868064
whisper-large-v3-turbo,profile,88,0,3,91,0.03296703296703296
GPT-4o mini Transcribe,special,88,0,3,91,0.03296703296703296
whisper-small,until,88,1,2,91,0.03296703296703296
